id	all	words	word_ids
12	Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity. He walked into his bank one day and asked to withdraw his entire account balance, but with an unusual stipulation: He wanted as much of the cash as possible in one dollar notes. 	['months', 'later', 'michael', 'larson', 'saw', 'another', 'opportunity', 'to', 'stack', 'the', 'odds', 'in', 'his', 'favor', 'with', 'a', 'dash', 'of', 'ingenuity', 'he', 'walked', 'into', 'bank', 'one', 'day', 'and', 'asked', 'withdraw', 'entire', 'account', 'balance', 'but', 'an', 'unusual', 'stipulation', 'wanted', 'as', 'much', 'cash', 'possible', 'dollar', 'notes']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]
13	"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor. ""I don't think you're going to have a heat wave I'm not going to be able to handle,"" he said. ""Everybody treats it differently. My son Ronnie, his caddie, and I won't be riding carts."	['murphy', 'the', 'senior', 'pga', 'tour', 'money', 'leader', 'with', 'seven', 'hundred', 'thousand', 'says', 'heat', 'should', 'be', 'a', 'factor', 'i', 'do', 'think', 'you', 'going', 'to', 'have', 'wave', 'not', 'able', 'handle', 'he', 'said', 'everybody', 'treats', 'it', 'differently', 'my', 'son', 'ronnie', 'his', 'caddie', 'and', 'wo', 'riding', 'carts']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]
14	"With schools still closed, cars still buried and streets still blocked by the widespread weekend snowstorm, officials are asking people to pick up a shovel and help out. In Boston, a ""snow angel"" campaign is using social media to encourage neighbors and friends to be an angel and help dig out the stranded."	['schools', 'still', 'closed', 'cars', 'buried', 'and', 'streets', 'blocked', 'by', 'the', 'widespread', 'weekend', 'snowstorm', 'officials', 'are', 'asking', 'people', 'to', 'pick', 'up', 'a', 'shovel', 'help', 'out', 'in', 'boston', 'snow', 'angel', 'campaign', 'is', 'using', 'social', 'media', 'encourage', 'neighbors', 'friends', 'be', 'an', 'dig', 'stranded']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]
15	Greg Anderson, considered a key witness by the prosecution, vowed he wouldn't testify when served a subpoena last week. His lawyers said he was prepared for a third prison stay to maintain his silence. Anderson was released July 20 after a two-week stay for previously declining to testify before a different grand jury.	['anderson', 'considered', 'a', 'key', 'witness', 'by', 'the', 'prosecution', 'vowed', 'he', 'would', 'testify', 'when', 'served', 'subpoena', 'last', 'week', 'his', 'lawyers', 'said', 'was', 'prepared', 'for', 'third', 'prison', 'stay', 'to', 'maintain', 'silence', 'released', 'july', '20', 'after', 'two-week', 'previously', 'declining', 'before', 'different', 'grand', 'jury']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]
16	Steam sterilization is limited in the types of medical waste it can treat, but is appropriate for laboratory cultures and substances contaminated with infectious organisms. The waste is subjected to steam in a sealed, pressurized chamber. The liquid that may form is drained off to the sewer or sent for processing. 	['sterilization', 'is', 'limited', 'in', 'the', 'types', 'of', 'medical', 'waste', 'it', 'can', 'treat', 'but', 'appropriate', 'for', 'laboratory', 'cultures', 'and', 'substances', 'contaminated', 'with', 'infectious', 'organisms', 'subjected', 'to', 'steam', 'a', 'sealed', 'pressurized', 'chamber', 'liquid', 'that', 'may', 'form', 'drained', 'off', 'sewer', 'or', 'sent', 'processing']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]
17	Owls are more flexible than humans because a bird's head is only connected by one socket pivot. People have two, which limits our ability to twist, Forsman added. Owls also have multiple vertebrae, the small bones that make up the neck and spine, helping them achieve a wide range of motion. 	['are', 'more', 'flexible', 'than', 'humans', 'because', 'a', 'bird', 'head', 'is', 'only', 'connected', 'by', 'one', 'socket', 'pivot', 'people', 'have', 'two', 'which', 'limits', 'our', 'ability', 'to', 'twist', 'forsman', 'added', 'owls', 'also', 'multiple', 'vertebrae', 'the', 'small', 'bones', 'that', 'make', 'up', 'neck', 'and', 'spine', 'helping', 'them', 'achieve', 'wide', 'range', 'of', 'motion']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]
18	Even in the same animal, not all bites are the same. A new study finds that because the force in a muscle depends on how much it is stretched, an animal's bite force depends on the size of what it is biting. The finding has direct implications for ecology and evolution.	['in', 'the', 'probably', 'same', 'animal', 'not', 'all', 'bites', 'are', 'a', 'new', 'study', 'finds', 'that', 'because', 'force', 'muscle', 'depends', 'on', 'how', 'much', 'it', 'is', 'stretched', 'an', 'bite', 'size', 'of', 'what', 'biting', 'finding', 'has', 'direct', 'implications', 'for', 'ecology', 'and']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]
19	Interestingly, the heaviest isotopes physicists have managed to synthesize so far don't behave quite like science's best current models predict, so stable superheavy nuclei are likely to be full of surprises. Chemists cannot even predict with any certainty whether these materials will exist as gases, liquids, or solids at room temperature.	['the', 'heaviest', 'isotopes', 'physicists', 'have', 'managed', 'to', 'synthesize', 'so', 'far', 'do', 'behave', 'quite', 'like', 'science', 'best', 'current', 'models', 'predict', 'stable', 'superheavy', 'nuclei', 'are', 'likely', 'be', 'full', 'of', 'surprises', 'chemists', 'can', 'even', 'with', 'any', 'certainty', 'whether', 'these', 'materials', 'will', 'exist', 'as', 'gases', 'liquids', 'or', 'solids', 'at', 'room', 'temperature']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]
20	Buck did not like it, but he bore up well to the work, taking pride in it. It was a monotonous life, operating with machine-like regularity. One day was very like another. At a certain time each morning the cooks turned out, fires were built, and breakfast was eaten. 	['did', 'not', 'like', 'it', 'but', 'he', 'bore', 'up', 'well', 'to', 'the', 'work', 'taking', 'pride', 'in', 'was', 'a', 'monotonous', 'life', 'operating', 'with', 'machine-like', 'regularity', 'one', 'day', 'very', 'another', 'at', 'certain', 'time', 'each', 'morning', 'cooks', 'turned', 'out', 'fires', 'were', 'built', 'and', 'breakfast', 'eaten']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]
21	These days, neuroscience is beginning to catch up to musicians who practice mentally. Although the details are still somewhat elusive, the key to the success of mental imagery as a rehearsal technique is that most of the same neurological regions are invoked by mental practice as by real practice. 	['days', 'neuroscience', 'is', 'beginning', 'to', 'catch', 'up', 'musicians', 'who', 'practice', 'mentally', 'although', 'the', 'details', 'are', 'still', 'somewhat', 'elusive', 'key', 'success', 'of', 'mental', 'imagery', 'as', 'a', 'rehearsal', 'technique', 'that', 'most', 'same', 'neurological', 'regions', 'invoked', 'by', 'real']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]
22	Not only smoke came out of it. There came also children's voices, for so safe did the boys feel in their hiding-place that they were gaily chattering. The pirates listened grimly, and then replaced the mushroom. They looked around them and noted the holes in the seven trees. 	['only', 'smoke', 'came', 'out', 'of', 'it', 'there', 'also', 'children', 'voices', 'for', 'so', 'safe', 'did', 'the', 'boys', 'feel', 'in', 'their', 'hiding-place', 'that', 'they', 'were', 'gaily', 'chattering', 'pirates', 'listened', 'grimly', 'and', 'then', 'replaced', 'mushroom', 'looked', 'around', 'them', 'noted', 'holes', 'seven', 'trees']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]
23	When a nucleus has all of its proton shells or neutron shells loaded to full capacity, the layers can align so well that each shell can spoon intimately with its attractive neighbors, forming a more compact sphere that fits well within the strong nuclear force's area of influence. 	['a', 'nucleus', 'has', 'all', 'of', 'its', 'proton', 'shells', 'or', 'neutron', 'loaded', 'to', 'full', 'capacity', 'the', 'layers', 'can', 'align', 'so', 'well', 'that', 'each', 'shell', 'spoon', 'intimately', 'with', 'attractive', 'neighbors', 'forming', 'more', 'compact', 'sphere', 'fits', 'within', 'strong', 'nuclear', 'force', 'area', 'influence']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]
24	Hybrid vehicles have a halo that makes owners feel righteous and their neighbors feel guilty for not doing as much to save the planet. They also cost more and a new report from the very green Union of Concerned Scientists says buyers aren't always getting their money's worth.	['vehicles', 'have', 'a', 'halo', 'that', 'makes', 'owners', 'feel', 'righteous', 'and', 'their', 'neighbors', 'guilty', 'for', 'not', 'doing', 'as', 'much', 'to', 'save', 'the', 'planet', 'they', 'also', 'cost', 'more', 'new', 'report', 'from', 'very', 'green', 'union', 'of', 'concerned', 'scientists', 'says', 'buyers', 'are', 'always', 'getting', 'money', 'worth']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]
25	The girl's feet were then re-wrapped even tighter than before, causing her footprint to shrink further as the bones slowly fused into their new configuration. Occasionally girls' feet would fester, and blood poisoning from gangrene could be a cause for concern, but an estimated 90% survived the process.	['girl', 'feet', 'were', 'then', 're-wrapped', 'even', 'tighter', 'than', 'before', 'causing', 'her', 'footprint', 'to', 'shrink', 'further', 'as', 'the', 'bones', 'slowly', 'fused', 'into', 'their', 'new', 'configuration', 'occasionally', 'girls', 'would', 'fester', 'and', 'blood', 'poisoning', 'from', 'gangrene', 'could', 'be', 'a', 'cause', 'for', 'concern', 'but', 'an', 'estimated', '0.9', 'survived', 'process']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]
26	An early task will be to make sure the newfound microbes were not introduced while drilling through the ice into the lake, which involved a hot-water drilling technique designed to greatly reduce or eliminate any contamination that might come from other kerosene-based drilling technology, Christner said. 	['early', 'task', 'will', 'be', 'to', 'make', 'sure', 'the', 'newfound', 'microbes', 'were', 'not', 'introduced', 'while', 'drilling', 'through', 'ice', 'into', 'lake', 'which', 'involved', 'a', 'hot-water', 'technique', 'designed', 'greatly', 'reduce', 'or', 'eliminate', 'any', 'contamination', 'that', 'might', 'come', 'from', 'other', 'kerosene-based', 'technology', 'christner', 'said']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]
27	Very similar, but even more striking, is the evidence from athletic training. As with rehearsing a piece on the piano, practicing a complex physical task in the mind alone is nearly as effective a learning strategy as actually physically doing it. But it doesnÕt stop there. 	['similar', 'but', 'even', 'more', 'striking', 'is', 'the', 'evidence', 'from', 'athletic', 'training', 'as', 'with', 'rehearsing', 'a', 'piece', 'on', 'piano', 'practicing', 'complex', 'physical', 'task', 'in', 'mind', 'alone', 'nearly', 'effective', 'learning', 'strategy', 'actually', 'physically', 'doing', 'it', 'does', 'stop', 'there']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]
28	A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers. Eventually, in 1925, it was decided that summer time should begin on the day following the third Saturday in April and close after the first Saturday in October.	['bill', 'was', 'drafted', 'and', 'introduced', 'into', 'parliament', 'several', 'times', 'but', 'met', 'with', 'great', 'opposition', 'mostly', 'from', 'farmers', 'eventually', 'in', '1925', 'it', 'decided', 'that', 'summer', 'time', 'should', 'begin', 'on', 'the', 'day', 'following', 'third', 'saturday', 'april', 'close', 'after', 'first', 'october']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]
29	When early Europeans discovered Easter Island, its somewhat isolated ecosystem was suffering from the effects of limited natural resources, deforestation, and overpopulation. Over the following years the island's population of four thousand or so was slowly eroded by Western disease and deportation by slave traders. 	['early', 'europeans', 'discovered', 'easter', 'island', 'its', 'somewhat', 'isolated', 'ecosystem', 'was', 'suffering', 'from', 'the', 'effects', 'of', 'limited', 'natural', 'resources', 'deforestation', 'and', 'overpopulation', 'over', 'following', 'years', 'population', 'four', 'thousand', 'or', 'so', 'slowly', 'eroded', 'by', 'western', 'disease', 'deportation', 'slave', 'traders']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]
30	Binge drinking may not necessarily kill or even damage brain cells, as commonly thought, a new animal study suggests. But it can block key receptors in the brain and trigger production of a steroid that interferes with brain functions critical to learning and memory. 	['drinking', 'may', 'not', 'necessarily', 'kill', 'or', 'even', 'damage', 'brain', 'cells', 'as', 'commonly', 'thought', 'a', 'new', 'animal', 'study', 'suggests', 'but', 'it', 'can', 'block', 'key', 'receptors', 'in', 'the', 'and', 'trigger', 'production', 'of', 'steroid', 'that', 'interferes', 'with', 'functions', 'critical', 'to', 'learning', 'memory']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]
31	When preparing to check out of their hotel room, some frequent travelers pile up their used bath towels on the bathroom floor, which would make them easy for housekeepers to spot. Other travelers neatly fold them, or hang them from the shower curtain pole.	['preparing', 'to', 'check', 'out', 'of', 'their', 'hotel', 'room', 'some', 'frequent', 'travelers', 'pile', 'up', 'used', 'bath', 'towels', 'on', 'the', 'bathroom', 'floor', 'which', 'would', 'make', 'them', 'easy', 'for', 'housekeepers', 'spot', 'other', 'neatly', 'fold', 'or', 'hang', 'from', 'shower', 'curtain', 'pole']	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]
